date,sku_id,sku_name,sku_category,Principle,qty
45727,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),277
45728,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),172
45729,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),228
45730,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),193
45731,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),275
45732,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),145
45733,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),292
45734,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),263
45735,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),149
45736,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),207
45737,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),227
45738,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),366
45739,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),277
45740,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),305
45741,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),248
45742,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),371
45743,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),385
45744,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),331
45745,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),351
45746,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),288
45747,208115,Indomie Goreng,Pasta & Noodles,Indofood Cbp Sm (Div Noodles),383
